regiondescription,parentlocation,park,usetype,sitetype,campsitetype,campsiteid,campsitename,loop,campsiteaccessible,campsitelongitude,campsitelatitude,avgBookingWindow,avgLengthStay
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,397,C020,Loop C,TRUE,-112.986886,37.196367,96.886524822695,1.85815602836879
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,359,B037,Loop B,FALSE,-112.989082,37.196097,130.054347826087,2.42391304347826
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,416,D029,Loop D,FALSE,-112.985429,37.196308,109.098039215686,1.94117647058824
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,WALK TO,WALK TO,535,F014,Loop F,FALSE,-112.986001,37.198306,79.6538461538462,1.88461538461538
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,477,D028,Loop D,FALSE,-112.985685,37.196163,103.776119402985,1.98507462686567
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,WALK TO,WALK TO,526,F003,Loop F,FALSE,-112.985294,37.197413,93.046357615894,1.91390728476821
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,WALK TO,WALK TO,529,F005,Loop F,FALSE,-112.985479,37.197554,84.3175675675676,2
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,STANDARD ELECTRIC,STANDARD ELECTRIC,456,B026,Loop B,FALSE,-112.988726,37.195052,120.983333333333,2.325
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,TENT ONLY NONELECTRIC,TENT ONLY NONELECTRIC,506,D019,Loop D,FALSE,-112.986114,37.195466,109.234482758621,1.84827586206897
Intermountain Region,Zion National Park,WATCHMAN CAMPGROUND,Overnight,WALK TO,WALK TO,524,F009,Loop F,FALSE,-112.985795,37.197962,86.4041095890411,1.96575342465753
